Key,Value
automapToolTipPanelCompass,"좌클릭: 초점 전환 (단축키: {0})
비컨: 빨간색... 플레이어, 녹색... 입구, 파란색... 회전축

우클릭: 보기 초기화 (단축키: {1})

창에서 마우스 좌클릭 더블 클릭: 마커 메모 생성+편집
창에서 Ctrl+마우스 좌클릭 더블 클릭: 마커 생성
마커 위에서 마우스 좌클릭 더블 클릭: 메모 추가/편집
마커 위에서 마우스 우클릭 더블 클릭: 마커 삭제
창에서 마우스 우클릭 더블 클릭: 회전축 위치 지정
창에서 마우스 가운데 버튼 더블 클릭: 보기 중심 맞추기
발견된 포털 마커 위에서 마우스 좌클릭 더블 클릭: 연결된 텔레포터 포털로 이동"
automapPlayerPositionBeacon,플레이어 위치 비컨
automapRotationPivotAxis,회전 피벗 축
automapEntranceExitPositionBeacon,입구/출구 위치 비컨
automapEntranceExit,입구/출구
automapPlayerMarker,플레이어 마커
automapTeleporterEntrance,텔레포터 (입구)
automapTeleporterExit,텔레포터 (출구)
exteriorAutomapBuildingTypeAlchemist,연금술사
exteriorAutomapBuildingTypeArmorer,갑옷 제작자
exteriorAutomapBuildingTypeBank,은행
exteriorAutomapBuildingTypeBookseller,서점
exteriorAutomapBuildingTypeClothingStore,의류점
exteriorAutomapBuildingTypeFurnitureStore,가구점
exteriorAutomapBuildingTypeGemStore,보석상
exteriorAutomapBuildingTypeGeneralStore,잡화점
exteriorAutomapBuildingTypeGuildHall,길드 회관
exteriorAutomapBuildingTypeHouseForSale,매물 주택
exteriorAutomapBuildingTypeLibrary,도서관
exteriorAutomapBuildingTypePalace,궁전
exteriorAutomapBuildingTypePawnShop,전당포
exteriorAutomapBuildingTypeTavern,여관
exteriorAutomapBuildingTypeTemple,신전
exteriorAutomapBuildingTypeWeaponSmith,무기 대장장이
exteriorAutomapBuildingTypeUnknown,알 수 없음
exteriorAutomapToolTipTextGridButton,"좌클릭: 다음 보기 모드로 전환 (단축키: {0})
사용 가능한 보기 모드:
- 기본 (단축키 {1})
- 추가: 추가 건물 포함 (단축키 {2})
- 전체: 추가 건물 및 지면 평면 포함 (단축키 {3})
배경 텍스처 전환: {4}, {5}, {6}, {7}"
exteriorAutomapToolTipForwardButton,"좌클릭: 위로 이동 (단축키: {0})
우클릭: 북쪽 위치 경계로 이동 (단축키: {1})"
exteriorAutomapToolTipBackwardButton,"좌클릭: 아래로 이동 (단축키: {0})
우클릭: 남쪽 위치 경계로 이동 (단축키: {1})"
exteriorAutomapToolTipLeftButton,"좌클릭: 왼쪽으로 이동 (단축키: {0})
우클릭: 서쪽 위치 경계로 이동 (단축키: {1})"
exteriorAutomapToolTipRightButton,"좌클릭: 오른쪽으로 이동 (단축키: {0})
우클릭: 동쪽 위치 경계로 이동 (단축키: {1})"
exteriorAutomapToolTipRotateLeftButton,"좌클릭: 지도를 왼쪽으로 회전 (단축키: {0})
우클릭: 플레이어 위치를 중심으로 지도를 왼쪽으로 회전 (단축키: {1})"
exteriorAutomapToolTipRotateRightButton,"좌클릭: 지도를 오른쪽으로 회전 (단축키: {0})
우클릭: 플레이어 위치를 중심으로 지도를 오른쪽으로 회전 (단축키: {1})"
exteriorAutomapToolTipUpstairsButton,"좌클릭: 확대 (단축키: {0})
우클릭: 최대 확대)"
exteriorAutomapToolTipDownstairsButton,"좌클릭: 축소 (단축키: {0})
우클릭: 최소 축소)"
exteriorAutomapToolTipPanelCompass,"좌클릭: 플레이어 위치에 초점 (단축키: {0})
우클릭: 보기 초기화 (단축키: {1})"
loading,잠시만 기다려 주십시오...
classicSave,클래식
cancel,취소
renameSave,이름 변경
deleteSave,삭제
switchChar,캐릭터 전환
savePrompt,게임 저장
loadPrompt,게임 불러오기
saveButton,저장
loadButton,불러오기
enterSaveName,저장 이름 입력
selectSaveName,저장 파일 선택
confirmDeleteSave,정말로 저장 파일을 삭제하시겠습니까?
confirmOverwriteSave,이 저장 파일을 덮어쓰시겠습니까?
youMustEnterASaveName,저장 이름을 입력해야 합니다.
youMustSelectASaveName,저장 이름을 선택해야 합니다.
noSavesFound,저장 파일을 찾을 수 없습니다. 클래식 저장 파일을 불러오시겠습니까?
cannotSaveNow,지금은 저장할 수 없습니다.
addEffect,효과 추가
buySpell,주문 구매
newSpell,새 주문
exit,나가기
casterOnly,시전자 전용
byTouch,접촉 시
singleTargetAtRange,단일 대상 원거리
areaAroundCaster,시전자 주변 범위
areaAtRange,원거리 범위
fireBased,화염 기반
coldBased,냉기 기반
poisonBased,독 기반
shockBased,전격 기반
magicBased,마법 기반
selectIcon,아이콘 선택
nextIcon,다음 아이콘
previousIcon,이전 아이콘
nameSpell,주문 이름
enterSpellName,주문 이름을 입력하세요 :
noEffectsError,이 주문에 최소 하나의 효과를 추가해야 합니다.
deleteSpell,이 주문을 삭제하시겠습니까?
sortSpells,주문을 정렬하시겠습니까?
effectNotFoundError,<효과를 찾을 수 없음>
noItemToActivate,사용 가능한 마법 아이템이 없습니다
Akatosh,아카토쉬
Arkay,아케이
Dibella,디벨라
Julianos,줄리아노스
Kynareth,키나레스
Mara,마라
Stendarr,스텐다르
Zenithar,제니타르
removeKeybind,{0}('{1}')에 대한 키 바인딩을 정말로 제거하시겠습니까?
nord,노르드
settingsNotApplied,참고: 일부 변경 사항은 게임을 다시 시작해야 적용될 수 있습니다.
doneButton,완료
temple,사원
unknownPowers,미지의 힘
cannotBeRepaired,수리할 수 없습니다.
youNeverAwaken,당신은 절대 깨어나지 못합니다.
modSettings,모드 설정
gameEffectsSettings,효과 설정
antialiasing,안티앨리어싱
ambientOcclusion,앰비언트 오클루전
bloom,블룸
motionBlur,모션 블러
vignette,비네트
depthOfField,피사계 심도
antialiasingTip,더 부드러운 외관 제공
enable,활성화
fxaa,FXAA
smaa,SMAA
taa,TAA
none,없음
method,방식
fxaaFastMode,FXAA 고속 모드
low,낮음
medium,중간
high,높음
smaaQuality,SMAA 품질
taaSharpness,TAA 선명도
disabled,비활성화
setPageDefaults,페이지 기본값 설정
ambientOcclusionTip,틈새와 구멍을 어둡게 함
scalableAmbientObscurance,확장 가능한 앰비언트 오스큐런스
multiScaleVolumetricObscurance,다중 스케일 볼류메트릭 오스큐런스
scalableAmbient,확장 가능한 앰비언트
multiScaleVolumetric,다중 스케일 볼류메트릭
intensity,강도
lowest,가장 낮음
ultra,울트라
radius,반경
quality,품질
thickness,두께
bloomTip,밝은 영역을 빛나게 함
threshold,임계값
diffusion,확산
bloomFastMode,블룸 고속 모드
motionBlurTip,카메라 노출보다 빠르게 움직이는 물체를 시뮬레이션
shutterAngle,셔터 각도
sampleCount,샘플 수
vignetteTip,화면 가장자리로 갈수록 어둡게 함
smoothness,부드러움
roundness,둥근 정도
rounded,둥글게
depthOfFieldTip,카메라 렌즈의 초점을 시뮬레이션
focusDistance,초점 거리
aperture,조리개
focalLength,초점 길이
maxBlurSize,최대 블러 크기
small,작게
large,크게
veryLarge,매우 크게
ditherTip,색상 밴딩과 같은 대규모 패턴을 줄이기 위해 노이즈 적용
dither,디더링
colorBoost,색상 부스트
colorBoostTip,카메라 근처의 색상을 밝게 함
dungeonScale,던전 스케일
interiorScale,실내 스케일
exteriorScale,실외 스케일
dungeonFalloff,던전 감쇠
retroMode,레트로 모드
retroModeTip,세계를 낮은 해상도로 렌더링
mode,모드
retroModeOff,끄기
retroMode320x200,320x200
retroMode640x400,640x400
off,끄기
posterizationFull,포스터화 (전체)
posterizationMinusSky,포스터화 (-하늘)
palettizationFull,팔레트화 (전체)
palettizationMinusSky,팔레트화 (-하늘)
postProcess,후처리
retroModeAspectCorrection,종횡비 보정
FourThree,4:03
SixteenTen,16:10
notEnoughSpellpointsLeft,남은 주문 점수가 충분하지 않습니다.
totalIdentified,{0}/{1} 식별됨.
dispelMagicSuccess,마법 해제 성공...
dispelMagicFailed,마법 해제 실패...
smallerDungeonsChanged,던전 내부에 있는 동안 더 작은 던전으로 변경되었습니다. 플레이어를 던전 출구로 이동합니다.
youNote,메모:
customName,사용자 지정 이름:
StoresA,"%ef의
%cn의 최고
필수품
%ef 군주의
모험가의
이상한
%ef의 최상품
할인품
빈티지
황제의
%cn
%ef의 일반품
우수한
%ef의 품질
일류
%rt의
용사의
%ef 박사의
%ef 숙녀의"
GeneralStoresB,"보급품
보급품 상점
장비
장비 상점
도구
도구 상점
잡화
식료품
상품
잡화점
소매점
교역소
시장
판매품
창고"
WeaponStoresB,"무기
무기류
병기
무장
병기고
무기 제작자
검
대장간
금속 세공
무기 대장장이"
ArmorStoresB,"병기고
사슬 갑옷
방패류
갑옷
방패
이지스
금속 공예
대장간
금속 세공
갑옷 제작자
대장장이
대장간"
BookStoresB,"책
서점
서점
책 판매상
책 센터
서적상
책 가판대
고서"
LibraryStoresB,"도서관
서재
아테나이움
공공 도서관
역사학자
서재
신학교
리케이온"
ClothingStoresB,"의류
옷
의복
복장
의상
예복
복식
패션
재단
옷가지
장신구"
AlchemyStoresB,"허브
식용 허브
향신료
치료제
해독제
물리학
의약품
물약
팅크제
약제
엘릭서
약국
연금술사
연고
의약품
허브 정원
제약
화학
화학물질
실험 제품
연금술
연금술 용액
야금술"
GemStoresB,"보석
원석
장신구
보석류
귀중한 돌
보석 세공
보석상
보석함
보석 가게
보석 세공사"
PawnStoresB,"전당포
전당업자
중고 보급품
중고 장비
중고 도구
중고 상품
전당포
골동품"
FurnitureStoresB,"가구
가구류
인테리어 디자인
가구점
장식
목공
목공예
공예품
목공품"
LivestockStoresB,"가축
사육자
농장 동물
짐승
생물
사냥감
동물군
동물상
동물원"
TavernsA,"여왕의
왕의
더러운
검은
두더지와
녹색
붉은
황금
흰색
은색
진홍색
나는
춤추는
웃는
쉬지 않는
목마른
불운한
행운의
악마의
녹슨
울부짖는
비명 지르는
박쥐와
사자와
스라소니와
드워프와
비버와
여우와
생쥐와
돼지와
깃털과
두꺼비와
쥐와
야만적인
악당과
죽은"
TavernsB,"심연
머그잔
구덩이
고양이
개
고블린
그리핀
드래곤
오우거
거인
진
늑대
사냥꾼
단검
해골
검
경비병
던전
투구
성
물병
새
노움
고슴도치
사향쥐
마멋
전갈
오소리
염소
호저
사제
새끼 사슴
수사슴
야만인
악동
요정"
houseForSale,매매용 주택
theBankOf,대거폴 은행
daggerfall,대거폴
wayrest,웨이레스트
sentinel,센티넬
palace,황궁
regionNames,"알리크르 사막
드래곤테일 산맥
글렌포인트 구릉
대거폴 절벽
요스 버로우랜드
드윈넨
라베니안 숲
데빌록
말레크나 숲
발피에라 섬
반타
닥프론
서부 일리악 만의 섬들
타마릴린 곶
레인린 절벽
비욜세 강
로스가리안 산맥
대거폴
글렌포인트
베토니
센티넬
안티클레어
레인린
웨이레스트
하이 락 마을
해머펠 마을
오시니움 지역
스케핑턴 숲
해머펠 만 해안
해머펠 바다 해안
하이 락 만 해안
하이 락 바다 해안
노스무어
메네비아
알카이르
코에그리아
보리아네
캄브리아
프리기아스
우르바이우스
이칼론
대니아
샬고라
아비본-고라
카이루
포타고
미르콰사
아야소피아
티고누스
코잔세트
사타칼람
토탐부
모른노스
에페소스
산타키
안티필로스
베르가마
가보돈
툴룬
글렌움브라 황야
일레산 구릉
시비아데스"
ocean,대양
unknownUpper,알 수 없음
switchToRegion,전환: {0} 지역
locationInRegionProvince,{1} 주의 {0}
dayNames,"순다스
모른다스
티르다스
미다스
투르다스
프레다스
로레다스"
monthNames,"새벽별의 달
해오름의 달
첫 씨앗의 달
비의 손의 달
둘째 씨앗의 달
한해중
해오름의 달
마지막 씨앗의 달
난롯불의 달
서리내림의 달
해질녘의 달
저녁별의 달"
birthSignNames,"의식좌
연인좌
군주좌
마법사좌
그림자좌
군마좌
견습생좌
전사좌
숙녀
탑좌
아트로나크좌
도둑좌"
seasonNames,"가을
봄
여름
겨울"
longDateTimeFormatString,"{3}, {6:00} {4}{5}, 3E{7} {0:00}:{1:00}:{2:00}"
dateTimeFormatString,"{3}{4} {5:00}, 3E{6} {0:00}:{1:00}:{2:00}"
dateFormatString,{3:00}의 {1}{2} {0}
ingredientFormatString,{0} {1}
longWeaponNameFormatString,{0} {1}
longArmorNameFormatString,{0} {1}
strRatings,"형편없는
허약한
약한
평균 이하
평균 정도
꽤 강한
운동선수 같은
매우 강한
강력한
초인적인"
intRatings,"식물 같은
멍청한
얼간이 같은
우둔한
평균 정도
교활한
꽤 영리한
매우 지적인
뛰어난
천재적인"
wilRatings,"무기력한
순종적인
수동적인
산만한
주관 없는
안정적인
자신감 있는
의지가 강한
매우 집중하는
깨달은"
agiRatings,"어설픈
서투른
둔한
어색한
평균 정도
활기찬
민첩한
손재주 좋은
매우 민첩한
곡예사 같은"
endRatings,"병약한
가련한
불안정한
변덕스러운
평균 정도
평균 이상
매우 건강한
튼튼한
거대한
불멸의"
perRatings,"혐오스러운
인기 없는
평범한
겸손한
주목받지 못하는
흥미로운
매력적인
시선을 끄는
권위 있는
카리스마 있는"
spdRatings,"비활동적인
느릿한
매우 느린
느린
평균 정도
평균 이상
빠른
발이 빠른
번개처럼 빠른
유성 같은"
lucRatings,"저주받은
희망 없는
운이 없는
불운한
평균 정도
꽤 운이 좋은
운이 좋은
행운의
매우 상서로운
신의 축복을 받은"
Mage,마법사
Spellsword,마검사
Battlemage,전투마법사
Sorcerer,소서러
Healer,치유사
Nightblade,나이트블레이드
Bard,음유시인
Burglar,도둑
Rogue,도적
Acrobat,곡예사
Thief,도둑
Assassin,암살자
Monk,수도사
Archer,궁수
Ranger,레인저
Barbarian,야만인
Warrior,전사
Knight,기사
Custom,사용자 지정
darkBrotherhoodRanks,"견습생
숙련공
운영자
슬레이어
처형인
응징자
터미네이터
암살자
어둠의 형제
마스터 암살자"
fightersRanks,"견습생
숙련공
검사
보호자
수호자
파수꾼
가디언
용사
전사
마스터"
knightlyOrderRanks,"지망생
종자
갤런트
슈발리에
관리자
기사 형제
사령관
원수
궁내관
팔라딘"
magesRanks,"견습생
숙련공
에보커
소환사
마술사
인챈터
워록
위저드
마스터 위저드
대마법사"
templeRanks,"초심자
입문자
시종사제
숙련자
부사제
제자
형제
예언자
마스터
총대주교"
thievesRanks,"견습생
숙련공
좀도둑
사기꾼
강도
산적
도둑
두목
마스터마인드
마스터 도둑"
darkSister,어둠의 자매
nonMember,비회원
knightSister,기사 자매
matriarch,여교황
sister,자매
daedricSkill,데이드릭
orcishSkill,오크식
midDateTimeFormatString,{0:00}:{1:00}:{2:00} {3:00} {4:00} 3E{5}
hthDamageFormatString,{0} 피해: {1}-{2}
affiliationFormatString,{0} (평판:{1})
answers_5404,"활
화살
석궁
활류
석궁류"
answers_5406,"하나
1"
answers_5423,"후원자
후원자"
answers_5424,"닥쳐
닥쳐
입 닥쳐"
answers_5464,"예
알겠습니다
동의합니다
네
동의함
완료
좋습니다
알겠어요
확실합니다
그래요"
random,무작위
nordSurnameImmutableSuffix,sen
confirmDefaultControls,기본 조작 설정을 복구하시겠습니까?
saveLoadPromptFormat,{0}: '{1}'
